Country,Region,Beneficiary Name,Total Budget,EU Contribution,Number of Projects,Transliterated NameBulgaria,Blagoevgrad Province,КАБРОН И ПЕКЕНЬО ООД,127024.68,86376.78,1,KABRON I PEKENЬO OOD,
Bulgaria,Blagoevgrad Province,ИНДИВИДУАЛНА ПРАКТИКА ЗА СПЕЦИАЛИЗИРАНА МЕДИЦИНСКА ПОМОЩ ПО АКУШЕРСТВО И ГИНЕКОЛОГИЯ – РУМЯНА КОСТАДИНОВА ЕООД,127500.0,86700.0,1,INDIVIDUALNA PRAKTIKA ZA SPETsIALIZIRANA MEDITsINSKA POMOSht PO AKUShERSTVO I GINEKOLOGIYa – RUMYaNA KOSTADINOVA EOOD,
Bulgaria,Blagoevgrad Province,Община Гоце Делчев,5353688.63,4272355.01,12,Obshtina Gotse Delchev,
Bulgaria,Blagoevgrad Province,БИОСТРОЙ ЕООД,154883.94,105321.08,1,BIOSTROY EOOD,
Bulgaria,Blagoevgrad Province,БЛИК - 99 ЕООД,306000.0,192397.5,2,BLIK - 99 EOOD,
Bulgaria,Blagoevgrad Province,Реално и вълшебно ООД,129984.21,88821.98,2,Realno i valshebno OOD,
Bulgaria,Blagoevgrad Province,Пи Ар Илеван ЕООД,126791.1,86217.95,1,Pi Ar Ilevan EOOD,
Bulgaria,Blagoevgrad Province,ПИРИНСТРОЙИНЖЕНЕРИНГ ЕАД,751966.93,275012.72,2,PIRINSTROYINZhENERING EAD,
Bulgaria,Blagoevgrad Province,МЕДИЦИНСКИ ЦЕНТЪР - БИЛЕВА ЕООД,124476.5,84644.01,1,MEDITsINSKI TsENTAR - BILEVA EOOD,
Bulgaria,Blagoevgrad Province,Community Centre “Georgi Todorov 1885”,406222.44,345289.06,1,,
Bulgaria,Blagoevgrad Province,Начално училище "Св. Св. Кирил и Методий" - гр. Разлог,85973.36,73077.36,1,Nachalno uchilishte "Sv. Sv. Kiril i Metodiy" - gr. Razlog,
Bulgaria,Blagoevgrad Province,НИТЕКС ЕООД,665622.93,310307.68,2,NITEKS EOOD,
Bulgaria,Blagoevgrad Province,Мега Хаш ЕООД,101044.79,68710.44,1,Mega Hash EOOD,
Bulgaria,Blagoevgrad Province,АСКОН ЕООД,89964.0,54829.08,2,ASKON EOOD,
Bulgaria,Blagoevgrad Province,ИЛИНДЕНСКИ МРАМОР ООД,367200.0,280908.0,1,ILINDENSKI MRAMOR OOD,
Bulgaria,Blagoevgrad Province,ЮГОЗАПАДЕН УНИВЕРСИТЕТ "НЕОФИТ РИЛСКИ",2546405.25,2164444.47,1,YuGOZAPADEN UNIVERSITET "NEOFIT RILSKI",
Bulgaria,Blagoevgrad Province,Cluster “Renewable Energy Sources”,113861.0,96781.84,1,,
Bulgaria,Blagoevgrad Province,СИТИ ЛУКС ООД,285370.5,171095.95,2,SITI LUKS OOD,
Bulgaria,Blagoevgrad Province,"Специална Електроника" ООД,127093.53,86423.6,1,"Spetsialna Elektronika" OOD,
Bulgaria,Blagoevgrad Province,СДРУЖЕНИЕ "АСОЦИАЦИЯ НА БЪЛГАРСКИТЕ ЛИДЕРИ И ПРЕДПРИЕМАЧИ" (АБЛП),173991.35,147892.65,1,SDRUZhENIE "ASOTsIATsIYa NA BALGARSKITE LIDERI I PREDPRIEMAChI" (ABLP),
Bulgaria,Blagoevgrad Province,ПРОГРЕС 333 ООД,201498.68,171273.88,3,PROGRES 333 OOD,
Bulgaria,Blagoevgrad Province,Regional health inspection-Blagoevgrad,1125370.5,956564.92,1,,
Bulgaria,Blagoevgrad Province,ОБЩИНА ГЪРМЕН,532558.59,461204.25,5,OBShtINA GARMEN,
Bulgaria,Blagoevgrad Province,Association SAVREMIE,118287.27,100544.17,1,,
Bulgaria,Blagoevgrad Province,ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ЕООД,216010.5,139608.68,2,VODOSNABDYaVANE I KANALIZATsIYa EOOD,
Bulgaria,Blagoevgrad Province,СИ 5 ТРЕЙД ЕООД,223813.5,194066.48,2,SI 5 TREYD EOOD,
Bulgaria,Blagoevgrad Province,Община Петрич,4026108.89,3100090.03,5,Obshtina Petrich,
Bulgaria,Blagoevgrad Province,Община Благоевград,4.729375062E7,3.955834594E7,31,Obshtina Blagoevgrad,
Bulgaria,Blagoevgrad Province,ПАРКС-ММ ЕООД,284279.89,169146.54,1,PARKS-MM EOOD,
Bulgaria,Blagoevgrad Province,ИНТЕРИОРНИ ПРОЕКТИ ЕООД,121890.0,82885.19,1,INTERIORNI PROEKTI EOOD,
Bulgaria,Blagoevgrad Province,Булгар филм ООД,127500.0,86700.0,1,Bulgar film OOD,
Bulgaria,Blagoevgrad Province,„СЪН Продъкшън” ЕООД,132113.81,86688.47,1,„SAN Prodakshan” EOOD,
Bulgaria,Blagoevgrad Province,„ЛИФОЕТ - 2007" ЕООД,93840.0,55834.79,1,„LIFOET - 2007" EOOD,
Bulgaria,Blagoevgrad Province,ПИРИН СПРИНГ АД,1227875.88,645085.4,5,PIRIN SPRING AD,
Bulgaria,Blagoevgrad Province,Municipality of Garmen,592557.06,503673.5,1,,
Bulgaria,Blagoevgrad Province,БЪЛГАРСКО СДРУЖЕНИЕ ЗА ЛИЧНОСТНА АЛТЕРНАТИВА,134173.94,114047.85,1,BALGARSKO SDRUZhENIE ZA LIChNOSTNA ALTERNATIVA,
Bulgaria,Blagoevgrad Province,Уейк Парк Технолъджис ООД,118717.47,80727.87,1,Ueyk Park Tehnoladzhis OOD,
Bulgaria,Blagoevgrad Province,МЕТМА ООД,446074.63,252271.72,2,METMA OOD,
